Neighbourhood Name,NeighbourhoodNumber,Number,income2019,Population,Distress Calls,DCoverPopulation,PopPe,ARHr2022,CrimeRate,Common Language,NonIm,Im,1atotalPop,1a0to4,1a5to9,1a10to14,1a15to19,1a20to24,1a25to29,1a30to34,1a35to39,1a40to44,1a45to49,1a50to54,1a55to59,1a60to64,1a65to69,1a70to74,1a75to79,1a80to84,1a85to89,1a90to94,1a95to99,1a100to,2averageAge,2averageAgeM,4avgIncome,4tax,4market,4employment,4gov,4ei,4covid,4avgIncomeM,4taxM,4marketM,4employmentM,4govM,4eiM,4covidM,8owner,8renter,11a,11aM,12a,12aM,ASSAULT_RATE_2014,ASSAULT_RATE_2015,ASSAULT_RATE_2016,ASSAULT_RATE_2017,ASSAULT_RATE_2018,ASSAULT_RATE_2019,ASSAULT_RATE_2020,ASSAULT_RATE_2021,ASSAULT_RATE_2022,ASSAULT_RATE_2023,AUTOTHEFT_RATE_2014,AUTOTHEFT_RATE_2015,AUTOTHEFT_RATE_2016,AUTOTHEFT_RATE_2017,AUTOTHEFT_RATE_2018,AUTOTHEFT_RATE_2019,AUTOTHEFT_RATE_2020,AUTOTHEFT_RATE_2021,AUTOTHEFT_RATE_2022,AUTOTHEFT_RATE_2023,BIKETHEFT_RATE_2014,BIKETHEFT_RATE_2015,BIKETHEFT_RATE_2016,BIKETHEFT_RATE_2017,BIKETHEFT_RATE_2018,BIKETHEFT_RATE_2019,BIKETHEFT_RATE_2020,BIKETHEFT_RATE_2021,BIKETHEFT_RATE_2022,BIKETHEFT_RATE_2023,BREAKENTER_RATE_2014,BREAKENTER_RATE_2015,BREAKENTER_RATE_2016,BREAKENTER_RATE_2017,BREAKENTER_RATE_2018,BREAKENTER_RATE_2019,BREAKENTER_RATE_2020,BREAKENTER_RATE_2021,BREAKENTER_RATE_2022,BREAKENTER_RATE_2023,HOMICIDE_RATE_2014,HOMICIDE_RATE_2015,HOMICIDE_RATE_2016,HOMICIDE_RATE_2017,HOMICIDE_RATE_2018,HOMICIDE_RATE_2019,HOMICIDE_RATE_2020,HOMICIDE_RATE_2021,HOMICIDE_RATE_2022,HOMICIDE_RATE_2023,ROBBERY_RATE_2014,ROBBERY_RATE_2015,ROBBERY_RATE_2016,ROBBERY_RATE_2017,ROBBERY_RATE_2018,ROBBERY_RATE_2019,ROBBERY_RATE_2020,ROBBERY_RATE_2021,ROBBERY_RATE_2022,ROBBERY_RATE_2023,SHOOTING_RATE_2014,SHOOTING_RATE_2015,SHOOTING_RATE_2016,SHOOTING_RATE_2017,SHOOTING_RATE_2018,SHOOTING_RATE_2019,SHOOTING_RATE_2020,SHOOTING_RATE_2021,SHOOTING_RATE_2022,SHOOTING_RATE_2023,THEFTFROMMV_RATE_2014,THEFTFROMMV_RATE_2015,THEFTFROMMV_RATE_2016,THEFTFROMMV_RATE_2017,THEFTFROMMV_RATE_2018,THEFTFROMMV_RATE_2019,THEFTFROMMV_RATE_2020,THEFTFROMMV_RATE_2021,THEFTFROMMV_RATE_2022,THEFTFROMMV_RATE_2023,THEFTOVER_RATE_2014,THEFTOVER_RATE_2015,THEFTOVER_RATE_2016,THEFTOVER_RATE_2017,THEFTOVER_RATE_2018,THEFTOVER_RATE_2019,THEFTOVER_RATE_2020,THEFTOVER_RATE_2021,THEFTOVER_RATE_2022,THEFTOVER_RATE_2023,OVERDOSE_2014,OVERDOSE_2015,OVERDOSE_2016,OVERDOSE_2017,OVERDOSE_2018,OVERDOSE_2019,OVERDOSE_2020,OVERDOSE_2021,OVERDOSE_2022,OVERDOSE_2023,SUICIDE_2014,SUICIDE_2015,SUICIDE_2016,SUICIDE_2017,SUICIDE_2018,SUICIDE_2019,SUICIDE_2020,SUICIDE_2021,SUICIDE_2022,SUICIDE_2023,CRISIS_2014,CRISIS_2015,CRISIS_2016,CRISIS_2017,CRISIS_2018,CRISIS_2019,CRISIS_2020,CRISIS_2021,CRISIS_2022,CRISIS_2023,POPULATION_2014,POPULATION_2015,POPULATION_2016,POPULATION_2017,POPULATION_2018,POPULATION_2019,POPULATION_2020,POPULATION_2021,POPULATION_2022,POPULATION_2023
Golfdale-Cedarbrae-Woburn,141,141,26400,27085,1601,0.059110209,1.048444907,758.3506755,0.879143685,Gujarati,0.410005538,0.589809858,27075,1470,1765,1700,1735,2200,2305,1935,1630,1565,1620,1550,1820,1585,1250,960,770,710,340,120,45,0,38.8,36.4,38640,34400,34000,34640,12510,6145,10120,31200,29400,25000,26800,11700,5480,10000,0.498301246,0.501698754,865000,870000,1190,1200,765.5042,842.7697,725.3925,836.7587,722.2042,806.0202,596.358,653.3627,698.3881,673.6239624,81.35794,70.54019,37.19961,95.41985,126.3857,74.89568,131.3407,177.5442,177.5442,272.2418213,25.88662,14.85057,55.79942,36.69994,10.83306,7.132922,10.64925,7.101768,7.101768,27.9222374,203.3949,215.3332,141.3585,176.1597,137.2188,142.6584,141.99,92.32299,102.2892,83.76670837,7.396176177,11,4,0,0,0,3.54975,7.101768,3.527212,3.490279675,159.0178,141.3585,271.5796,148.0518,167.6237,99.39299,74.56857,56.4354,196.77,111.6889496,3.698088,11.13792,7.439923,11.00998,28.88817,39.23107,42.597,46.1615,24.69049,10.47083855,133.1312,207.9079,182.2781,176.1597,245.5494,221.1206,227.184,216.6039,126.9796,265.261261,11.09426,18.56321,18.59981,36.69994,14.44408,14.26584,14.199,17.75442,28.2177,31.41251564,55.47131967,48.26434138,52.07945839,66.05989476,28.8881665,60.62983825,49.6964976,56.81414696,42.32654918,31.41251638,203.3948388,155.9309491,260.3972919,165.1497369,227.4943112,231.8199698,266.2312371,237.9092404,250.4320827,191.9653779,247.7718945,289.5860483,312.4767503,278.9195557,256.3824777,342.3802631,390.4724811,387.0463762,391.5205799,345.5376802,27041,26935,26882,27248,27693,28039,28171,28162,28351,28651
Woburn North,142,142,28400,26580,2111,0.079420617,1.045969582,716.4895441,1.063368737,Gujarati,0.3492571,0.650554824,26575,1295,1340,1370,1380,2095,2570,2260,1885,1595,1585,1750,1730,1585,1200,1000,705,515,485,200,30,0,40.1,37.6,40000,35360,35920,38120,11300,6175,10050,32400,30800,26200,30200,9500,5520,10000,0.538931298,0.461068702,718000,700000,1270,1300,530.6942,610.8955,622.1455,631.8555,619.4225,726.543,623.2353,614.7258,630.785,630.5084839,93.23006,57.49605,79.11677,78.0945,83.9895,138.3891,216.9272,196.8504,196.8504,349.1525574,17.92886,10.78051,7.192433,28.398,17.49781,13.83891,0,13.81406,13.81406,44.0677948,233.0752,316.2283,151.0411,134.8905,213.4733,207.5837,86.08222,96.69844,119.9863,149.1525421,3.585771658,0,0,0,0,0,3.443289,0,6.856359,6.779661179,150.6024,118.6752,184.587,125.9843,65.73485,89.52551,34.53516,78.84813,136.5531,74.57627106,3.585772,10.78051,7.192433,14.199,13.99825,6.919457,6.886578,24.17461,23.99726,13.55932236,218.7321,212.0167,197.7919,237.8332,283.4646,342.5132,275.4631,269.3742,209.119,311.8644104,28.68617,28.74802,32.36595,46.14675,34.99562,13.83891,44.76276,27.62813,41.13816,30.50847435,35.85771716,32.34152688,46.75081851,70.99499649,69.99124818,48.43620199,117.0718225,100.1519511,116.5581075,101.6949168,179.2885858,168.8946404,215.7730085,252.0322376,332.4584289,259.4796535,289.2362674,366.072649,339.3897835,328.8135642,279.6901938,298.2607479,363.2178976,386.9227309,423.4470515,473.9828337,509.6067569,507.6667868,479.9451484,406.779667,27888,27828,27807,28171,28575,28904,29042,28956,29170,29500
West Rouge,143,143,39600,20670,950,0.045960329,1.053970554,338.3713061,0.820744167,Tamil,0.513546202,0.486453798,20665,830,1065,1120,1180,1330,1370,1135,1310,1245,1290,1340,1550,1610,1395,1305,820,435,240,85,10,0,43.1,44,54650,45760,49720,52450,10940,6410,9840,42000,37600,35600,40800,9500,5760,9500,0.795017794,0.204982206,915000,900000,1516,1400,399.4294,285.6599,290.3379,422.7734,397.6143,342.2626,299.8501,299.9182,275.2086,312.5558167,142.6534,138.0689,33.31747,42.27734,64.72791,146.032,90.86366,172.6802,172.6802,442.0432129,33.28578,19.04399,57.11566,32.88237,92.46844,36.50801,31.80228,13.63265,13.63265,17.86033249,171.184,157.1129,161.8277,192.5968,166.4432,104.9605,86.32047,99.97273,99.25558,116.0921631,0,0,0,0,0,0,4.543183,4.544215,0,4.465083122,57.06134,42.83675,93.94965,64.72791,104.9605,118.1228,31.80951,63.16264,33.32698,98.23182678,0,4.760998,4.759638,0,4.623422,13.6905,9.086366,27.26529,13.53485,13.39524937,313.8374,142.8299,195.1452,305.3363,258.9117,182.54,240.7887,140.8707,297.7668,209.858902,14.26534,9.521996,14.27891,23.48741,23.11711,18.254,13.62955,18.17686,18.04647,17.86033249,38.04089355,42.84898224,42.83674246,42.2773407,27.74053387,31.94450683,4.543182835,22.72107673,27.06970412,31.25558167,175.9391327,66.65397237,142.7891415,192.5967743,189.5603148,196.230542,168.0977649,222.666552,157.9066074,98.23182811,280.5515899,266.6158895,261.7800928,225.4791504,249.6648048,205.3575439,249.8750559,358.9930124,207.5343982,209.8589055,21030,21004,21010,21288,21629,21913,22011,22006,22165,22396
Morningside Heights,144,144,31200,24940,1045,0.041900561,1.048182307,461.4774489,1.099616898,Tamil,0.365276664,0.634723336,24950,1225,1325,1535,1615,2025,2030,1770,1610,1405,1385,1695,1925,1705,1505,890,720,295,210,70,10,0,39.4,38,42000,36640,37920,39480,11270,6430,10090,34800,32400,29800,32800,9200,5520,10000,0.843917368,0.156082632,929000,900000,1640,1540,389.2374,457.9864,340.2518,392.3767,404.4266,410.9091,297.1984,312.2617,364.1346,422.4801941,117.1491,90.84027,60.48921,93.42302,172.8005,207.2727,155.8479,275.9522,275.9522,543.1888428,11.33701,11.35503,3.780576,3.736921,7.353211,3.636364,0,14.5238,14.5238,3.550253868,151.1602,151.4005,158.7842,112.1076,165.4473,130.9091,68.86304,90.77376,86.52702,117.1583786,3.779003855,0,0,15,0,0,0,7.2619,0,0,56.68506,98.29496,89.6861,66.1789,43.63636,65.23866,43.5714,97.3429,102.1953,81.65583801,7.558008,18.92506,18.90288,29.89537,7.353211,10.90909,14.49748,10.89285,7.210585,28.40203094,162.4972,155.1855,155.0036,250.3737,191.1835,170.9091,275.4521,203.3332,155.0276,248.5177765,26.45303,22.71007,41.58633,26.15845,40.44267,32.72727,25.37059,25.41665,50.47409,56.80406189,15.11601539,18.9250574,49.14748229,22.42152449,33.08945201,25.45454528,28.99496237,21.78570131,14.42117038,10.6507612,79.35908078,109.7653329,143.6618713,123.3183847,165.4472601,138.1818172,173.9697742,156.1308594,155.0275815,149.1106567,162.4971654,223.3156774,234.3956848,257.8475316,294.1284623,269.0909073,228.3353287,206.9641625,284.8181149,248.5177612,26462,26420,26451,26760,27199,27500,27591,27541,27737,28167
Malvern West,145,145,27800,17320,908,0.052424942,1.028248778,509.9120662,0.980828766,Tamil,0.351039261,0.648672055,17315,820,980,1030,1110,1460,1565,1110,1050,1125,1035,1130,1280,1090,860,785,405,315,120,35,10,0,39.1,38,37040,33200,31400,33760,11680,5730,9890,31600,29800,23200,27800,10300,5480,9500,0.737047898,0.262952102,684000,700000,1408,1300,417.3131,485.0967,579.8829,595.3339,534.1089,617.058,375.4693,465.5542,442.2707,479.0851135,37.45118,97.01935,97.5504,160.901,142.7816,198.7136,125.1564,115.0808,115.0808,283.329895,10.70034,16.16989,16.2584,21.45347,10.57642,26.14652,20.85941,5.230946,5.230946,10.30290508,181.9057,113.1892,130.0672,64.36042,163.9344,151.6498,57.36337,73.23325,41.62547,82.42324066,0,0,0,0,10.57642,5.229305,0,10.46189,0,0,80.25253,173.4229,166.2644,111.0524,130.7326,36.50396,104.6189,67.6414,107.7993,72.12033844,10.70034,16.16989,5.419466,10.72674,21.15283,41.83444,26.07426,31.38568,10.40637,15.4543581,208.6566,172.4789,205.9397,219.8981,222.1047,235.3187,161.6604,125.5427,202.9242,242.1182709,21.40067,16.16989,32.5168,21.45347,58.17028,31.37583,10.4297,10.46189,15.60955,10.30290508,32.10101084,26.94981893,48.77520011,37.5435769,31.72924442,26.14652489,41.71881442,26.15473201,15.60955272,15.4543585,112.3535379,161.6989136,130.0672003,219.8980933,206.2400888,209.1721992,198.1643685,204.0069096,218.5337381,226.6639247,165.8552227,344.9576823,298.0706673,252.0783021,327.868859,245.777334,323.3208118,313.8567841,202.9241854,288.4813587,18691,18553,18452,18645,18910,19123,19176,19117,19219,19412
Malvern East,146,146,30200,26095,1661,0.063652041,1.02260525,528.3778441,0.875490106,Tamil,0.357088123,0.642911877,26100,1095,1330,1490,1520,2040,2125,1935,1545,1540,1735,1670,1770,1780,1515,1320,715,555,295,115,10,0,40.9,40,39760,35240,34640,36760,12040,6335,10160,33200,31200,26400,31000,11000,5520,10000,0.701692936,0.298307064,659000,675000,1279,1300,518.268,717.5255,649.2288,675.45,647.4031,784.8953,602.5618,513.5438,460.0841,516.0509644,66.16187,48.33073,67.54982,100.2041,128.0176,144.6812,151.5425,155.5098,155.5098,227.7742157,18.3783,14.87099,18.76384,11.13379,7.315289,7.234058,10.82446,25.31554,25.31554,21.35383224,106.5941,81.79047,153.8635,85.35906,120.7023,54.25544,50.51416,72.33012,57.51051,117.4460831,0,0,15,7,3.657645,0,3.608155,3.616506,3.594407,0,88.21584,116.3358,126.183,117.0446,83.19167,61.33863,79.56313,64.69933,104.097,71.17944336,7.35132,14.87099,33.77491,22.26758,25.60351,18.08514,36.08154,14.46602,17.97204,10.67691612,106.5941,74.35497,101.3247,192.9857,95.09875,130.213,220.0974,94.02915,104.2378,188.6255188,22.05396,3.717749,7.505535,11.13379,18.28822,10.85109,14.43262,7.233011,28.75526,,44.10791535,44.61298145,45.033213,55.66895548,51.20702298,32.55325978,25.25708008,43.39806957,39.53847911,32.03074951,139.6750653,137.5566928,195.143923,167.0068665,230.4316034,206.1706453,263.3952637,274.8544406,283.9581682,323.8664673,297.7284286,368.057097,326.4907943,359.9925788,362.1068053,271.2771649,357.2072754,415.8981667,488.8393781,316.748523,27206,26898,26647,26945,27340,27647,27715,27651,27821,28098
L'Amoreaux West,147,147,27800,21545,1035,0.048038988,1.057721228,441.9060324,1.043231216,Mandarin,0.330935252,0.669064748,21545,780,945,1000,1060,1390,1395,1295,1095,1170,1270,1605,1745,1475,1255,1340,945,815,590,300,75,0,45.9,47.6,42680,37000,38520,41200,12070,6640,10150,31400,29600,25400,29800,11800,6000,10000,0.543098252,0.456901748,860000,800000,1202,1260,299.8501,324.2715,414.9563,439.2708,379.523,454.6034,345.8019,425.1736,396.0479,484.1224365,48.50516,53.3049,66.92843,61.49791,81.94247,110.4644,84.34192,75.77352,75.77352,258.4721375,8.819119,4.442075,22.30948,30.74896,30.18933,25.49178,21.08548,29.46748,29.46748,32.82185745,145.5155,151.0306,133.8569,175.7083,176.8232,195.437,105.4274,71.56388,70.87172,110.7737732,4.409559926,0,4,4,0,0,12.65129,0,4.168925,4.102732182,105.8294,98.1617,118.6031,94.88075,84.9726,67.47354,33.67712,41.68925,97.72565,77.95191956,4.40956,13.32623,22.30948,48.31979,25.87657,25.49178,33.73677,12.62892,16.6757,4.102732182,154.3346,155.4726,107.0855,140.5667,138.0084,135.9562,164.4668,155.7567,145.9124,192.8284302,4.40956,8.884151,8.923791,13.17812,12.93828,0,12.65129,12.62892,20.84462,4.102732182,13.22867943,17.76830219,40.15705822,21.96354065,38.81485333,25.49177908,29.51967267,50.51568059,41.68924754,12.30819754,141.1059139,128.8201909,120.4711747,175.7083252,155.2594133,242.1719013,181.3351321,168.385602,162.5880654,164.1093005,158.7441532,213.2196262,236.480454,364.5947748,319.1443496,369.6307967,265.6770541,282.0458833,329.3450555,258.4721483,22678,22512,22412,22765,23187,23537,23713,23755,23987,24374
East L'Amoreaux,148,148,26600,21495,1101,0.051221214,1.04154759,354.9545743,0.917855681,Mandarin,0.303093743,0.696906257,21475,780,1075,1055,1220,1450,1665,1360,1260,1235,1280,1510,1775,1450,1300,1170,755,585,350,165,35,0,43.3,43.6,39440,34600,33680,35520,12040,6265,10940,31000,29400,22000,25600,11800,5680,12000,0.749479528,0.250520472,779000,700000,1398,1380,259.6717,399.9289,371.6473,379.5736,325.3091,393.9368,443.0056,336.6286,325.375,346.0063477,30.8085,35.54924,58.20982,48.55012,56.3869,55.66498,59.63537,76.70019,76.70019,220.9438019,0,8.887309,8.955358,8.827294,17.34982,8.563844,4.259669,8.522243,8.522243,29.18125725,154.0425,222.1827,89.55357,145.6503,151.8109,171.2769,97.9724,59.6557,101.4156,108.3875275,0,0,4,0,0,0,0,0,0,0,136.4377,76.12054,66.2047,91.08653,192.6865,46.85637,29.82785,29.57955,71.09847,41.68751144,4.401215,4.443655,8.955358,4.413647,4.337454,12.84577,12.77901,8.522243,8.4513,16.67500496,193.6534,142.1969,125.375,114.7548,147.4734,111.33,144.8288,72.43906,185.9286,166.7500458,13.20364,31.10558,8.955358,13.24094,26.02472,8.563844,8.519339,17.04449,46.48215,25.01250648,26.4072876,8.887308756,13.43303635,22.06823482,34.69963216,21.40960859,21.29834688,12.7833646,16.90259899,12.50625353,96.8267212,102.2040507,107.4642908,194.2004664,117.1112585,158.4311036,110.7514038,166.1837398,156.3490406,158.4125447,264.072876,239.9573364,277.6160845,313.3689344,425.070494,389.6548764,340.7735502,443.1566394,287.3441828,333.5000942,22721,22504,22333,22657,23055,23354,23476,23468,23665,23988
Parkwoods-O'Connor Hills,149,149,38400,13965,777,0.055639098,1.020702109,468.0504681,1.205750127,Mandarin,0.537414966,0.462943072,13960,605,830,855,965,910,775,770,735,930,1020,1130,1105,910,680,615,480,290,230,105,20,0,41.6,43.2,59600,47440,56400,55950,11050,6400,10130,39200,35600,34400,35600,9200,5960,9700,0.471810089,0.528189911,1410000,1400000,1682,1620,318.4934,311.8936,339.1238,391.3491,312.6912,377.8168,249.8818,346.7501,420.5671,649.1749878,110.7803,124.7574,69.20894,116.7182,61.17871,53.97382,155.3319,135.9804,135.9804,371.9231873,6.923769,6.930967,6.920894,61.79197,27.19054,13.49346,13.50712,20.39706,20.39706,13.52447891,173.0942,180.2052,152.2597,240.3021,231.1196,229.3887,162.0855,115.5834,122.1001,236.6783905,0,0,0,0,0,0,6.753562,0,0,0,48.46638,76.12984,123.5839,33.98817,67.46728,27.01425,101.9853,47.48338,6.930967,40.57343674,6.923769,0,6.920894,13.73155,0,0,13.50712,13.59804,13.56668,13.52447891,256.1795,298.0316,304.5193,343.2887,217.5243,195.6551,243.1283,197.1716,250.9836,182.5804749,6.923769,20.7929,6.920894,34.32887,27.19054,20.24018,6.753562,6.799021,6.78334,47.3356781,41.54261448,48.51677518,41.52536447,41.19464433,40.78580773,26.98691232,13.50712462,47.59314563,27.13335985,40.57343674,124.6278434,152.4812934,173.0223519,171.6443514,244.7148464,256.3756671,216.1139939,333.1520194,250.9835786,331.3497334,235.4081487,138.6193576,138.4178816,260.8994141,346.6793657,276.6158513,337.6781154,319.5539778,413.7837376,432.7833252,14443,14428,14449,14565,14711,14822,14807,14708,14742,14788
Fenside-Parkwoods,150,150,31800,20510,1240,0.060458313,1.049892829,497.424054,1.03125569,Mandarin,0.397367138,0.602632862,20520,940,930,1150,1210,1335,1740,1665,1480,1365,1385,1315,1535,1285,1015,745,580,445,255,95,50,0,40.6,39.2,45960,39680,41760,43040,11430,6205,10090,36000,33600,30600,34400,9300,5520,10000,0.335582822,0.664417178,832000,800000,1492,1480,494.2647,472.8907,562.931,444.0128,409.9107,467.731,501.0962,375.9567,457.4525,567.4625854,88.59461,74.91338,79.74856,134.1289,45.54564,94.44569,93.95553,147.6973,147.6973,174.6038666,4.662874,18.72835,37.52873,37.00106,9.109127,17.98966,8.948146,22.37837,22.37837,30.55567741,209.8293,163.873,112.5862,143.3791,200.4008,152.9121,107.3777,89.5135,48.85415,87.30193329,0,0,0,0,4.554564,4.497414,0,4.475675,0,4.365096569,23.31437,103.204,129.5037,72.87302,107.9379,22.37036,35.8054,39.97158,79.59547,61.11135483,0,9.364173,9.382183,23.12567,4.554564,4.497414,13.42222,8.951349,13.32386,4.365096569,256.4581,248.1506,206.408,245.132,109.3095,332.8086,219.2296,201.4054,244.2707,165.8736725,23.31437,14.04626,9.382183,23.12567,13.66369,8.994828,4.474073,17.9027,8.882572,30.55567741,37.30299464,9.364172606,14.07327423,78.62725893,40.99107361,67.46120893,13.4222186,49.23242042,17.76514501,26.19058086,149.2119786,187.2834521,192.3347478,342.259833,300.6012065,332.8086307,268.4443719,187.9783325,222.0643127,192.0642597,167.8634759,290.2893508,309.6120331,365.3854974,309.7103339,157.4094875,299.762882,340.1512683,297.566179,384.1285193,21446,21358,21317,21621,21956,22235,22351,22343,22516,22909
Yonge-Doris,151,151,32800,20160,923,0.04578373,1.064779533,392.2252244,1.031145516,Mandarin,0.228422619,0.771577381,20150,735,785,655,715,1305,2180,2525,1865,1440,1250,1275,1190,945,900,750,645,485,310,165,20,10,41.5,38,51450,42880,50000,53700,8150,6350,10230,36400,33600,34400,42800,4120,5560,10000,0.555611986,0.444388014,701000,685000,1978,1960,320.1856,328.5364,359.1491,385.61,384.1,357.5212,281.0839,338.3426,361.7188,447.619873,32.4826,23.13637,18.4179,45.36588,84.85931,128.0014,96.6226,171.3683,171.3683,202.2897491,55.68446,69.4091,82.88056,40.82929,58.06163,52.9661,114.1903,61.51683,61.51683,73.16863251,37.12297,37.01818,55.25371,45.36588,31.26396,97.10452,118.5823,83.48713,74.08699,68.86459351,0,0,0,0,0,0,0,0,0,4.304037094,32.4826,115.1119,63.51223,116.1233,83.86299,52.70324,127.4277,30.50641,50.90001,60.25651932,0,0,0,0,0,0,0,0,0,0,64.96519,50.90001,78.27608,99.80492,111.657,331.0381,386.4904,355.9188,61.01281,615.4772949,18.56149,23.13637,23.02238,31.75611,26.79768,66.20763,43.91936,39.54653,61.01281,77.47267151,37.12296903,46.27273345,46.04475364,18.14635081,22.33139748,17.65536687,30.74355411,35.15247375,34.86446371,25.82422344,92.80742258,129.5636537,110.5074087,122.487868,125.0558259,145.6567767,131.758089,202.126724,152.5320287,154.9453407,241.2992987,254.500034,276.2685218,249.5123237,232.2465338,251.588978,329.3952226,338.3425598,370.4349269,357.235091,21550,21611,21718,22043,22390,22656,22769,22758,22946,23234
East Willowdale,152,152,35600,15485,650,0.041976106,1.13658798,389.4514298,1.089435941,Mandarin,0.33613174,0.66386826,15495,665,785,755,860,1165,1175,1190,960,900,960,1125,1160,1035,865,830,450,320,150,120,25,0,41.6,41.2,61500,48600,59600,59750,9040,6640,10040,36800,33600,32800,34400,6040,5520,9000,0.697860963,0.302139037,1964000,2000000,2048,2000,271.911,213.0593,328.621,284.8312,271.5947,300.387,227.9982,299.8416,322.6883,262.5102539,107.4997,119.0625,198.4127,84.84335,82.65926,167.5235,131.099,248.9251,248.9251,470.3308716,44.26458,56.39804,93.00595,36.36143,5.904233,23.1067,91.19927,67.88866,67.88866,54.68963623,436.3222,363.4541,334.8214,442.3974,330.6371,311.9404,205.1984,147.0921,222.5437,399.2343445,0,0,0,0,0,0,0,0,0,0,88.52915,86.80556,181.8072,188.9355,132.8635,102.5992,50.9165,66.7631,119.0625,92.97238159,6.323511,0,0,0,5.904233,11.55335,11.39991,5.657389,11.12718,5.468963623,158.0878,125.329,217.0139,218.1686,218.4566,259.9503,273.5978,299.8416,139.0898,410.1722717,18.97053,25.0658,18.60119,36.36143,17.7127,51.99006,22.79982,28.28694,72.32669,76.56549072,37.941067,43.86514596,43.4027779,24.24095381,23.61693275,34.66004122,17.09986267,39.60171855,0,21.87585449,101.1761787,50.13159539,130.2083337,181.8071536,224.3608611,213.7369209,199.4983978,203.6659811,116.8354277,153.1309814,139.1172457,219.3257298,161.2103179,133.325246,247.9777939,265.7269827,182.3985351,316.8137484,166.9077538,202.351654,15814,15958,16128,16501,16937,17311,17544,17676,17974,18285
Avondale,153,153,42400,13790,602,0.043654822,1.231104816,272.1518987,0.780429633,Mandarin,0.310007252,0.69035533,13800,630,540,375,395,910,1850,2110,1645,1135,870,710,655,600,460,395,250,155,100,15,0,0,37.9,35.2,62500,50400,61850,63950,7390,6980,10490,46400,41600,46800,54000,2360,6000,10500,0.575411008,0.424588992,802000,680000,2060,2100,296.0885,295.421,301.3948,335.8695,495.3809,301.8175,278.2991,360.2676,240.5063,309.6166992,70.12623,29.5421,42.05509,6.854479,53.55469,98.41874,220.0505,218.7339,218.7339,154.8083496,23.37541,59.08419,119.1561,150.7986,40.16602,85.29624,239.4667,128.667,128.667,55.73100662,85.70983,66.46972,49.06427,75.39928,87.02637,85.29624,84.13695,109.367,50.63291,117.6543427,0,0,0,0,73.6377,0,6.472073,0,6.329114,0,31.16721,21.02755,68.54479,73.6377,32.80625,58.24866,51.4668,25.31646,29.5421,37.15400314,7.791803,0,0,6.854479,0,0,6.472073,0,0,6.192333698,77.91803,51.69867,98.12855,61.69032,60.24903,144.3475,232.9946,173.7005,63.29114,396.3093567,15.58361,7.385524,42.05509,34.2724,33.47168,26.245,19.41622,32.16675,56.96202,30.96166992,7.791802658,29.542099,14.01836448,41.12687465,33.47168381,13.12249889,6.472072867,19.3000521,6.329113935,49.53867187,140.2524478,295.42099,147.1928271,157.6530195,167.3584191,183.7149844,155.3297488,147.9670661,341.7721525,693.5414062,210.3786718,118.168396,161.2111916,143.9440613,120.4980617,177.153735,187.6901132,115.8003126,164.5569623,161.0006836,12834,13540,14267,14589,14938,15241,15451,15544,15800,16149
Oakdale-Beverley Heights,154,154,29800,21420,2375,0.110877684,1.045139126,1651.376147,1.221963741,Spanish,0.397151529,0.603081952,21395,1215,1300,1275,1230,1525,1395,1355,1505,1625,1425,1565,1485,1345,895,760,535,435,320,150,45,10,39.8,39.6,41160,35760,35720,37920,12710,6590,10170,33600,31400,25800,30600,11600,5920,10000,0.432397126,0.567602874,961000,940000,1275,1250,1086.689,1144.153,1135.802,1355.04,1450.877,1400.76,1111.742,1388.428,1458.48,2078.779785,324.5316,345.2187,251.8519,258.335,379.534,441.5954,487.2741,540.2076,540.2076,748.7327271,24.58573,39.45357,34.5679,4.874245,33.62959,37.98671,52.03898,42.64796,42.64796,55.8061676,280.2773,212.0629,118.5185,155.9758,211.386,379.867,208.1559,298.5358,235.2388,413.8957214,0,0,5,10,0,4.748338,0,0,9.409551,4.650513649,201.603,177.7778,238.838,182.5607,194.6819,236.5408,137.4212,183.4862,192.3362,139.5154114,19.66858,19.72678,19.75309,29.24547,33.62959,14.24501,23.65408,42.64796,32.93343,27.9030838,368.7859,202.1995,212.3457,302.2032,562.0947,565.0522,747.469,535.4689,352.8582,339.4875183,49.17146,19.72678,39.50617,43.8682,52.8465,33.23837,66.23143,85.29593,89.39073,106.9618225,54.08860924,39.45356697,49.38271696,82.8621532,81.67187459,28.49002914,137.1936866,312.7517499,239.943541,330.1864983,152.4315351,246.5847935,251.8518565,350.94559,350.708638,403.6087461,350.0804416,445.4343105,381.0868003,395.2936951,388.4545572,512.8963706,883.9506335,760.3821117,739.8510993,631.5289792,633.9294483,791.3567005,757.4688254,609.2173419,20337,20277,20250,20516,20815,21060,21138,21103,21255,21503
